Tabelle: 12621-0001
Sterbetafel (Periodensterbetafel): Deutschland, Jahre,;;;;;;;;;;;;;;
Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;
;männlich;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;
;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];;Sterbewahrscheinlichkeit [q(x)];;Überlebenswahrscheinlichkeit [p(x)];;Überlebende [l(x)];;Gestorbene [d(x)];;Bis zum Alter x+1 durchlebte Jahre [L(x)];;Insgesamt noch zu durchlebende Jahre [T(x)];;Durchschnittliche Lebenserwartung [e(x)];
;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre;Ziffer;Ziffer;Ziffer;Ziffer;Anzahl;Anzahl;Anzahl;Anzahl;Jahre;Jahre;Jahre;Jahre;Jahre;Jahre
2020/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70 Jahre;0,02385767;e;0,97614233;e;77695;e;1854;e;76769;e;1099391;e;14,15;e;0,01298143;e;0,98701857;e;87447;e;1135;e;86879;e;1472344;e;16,84;e
71 Jahre;0,02601351;e;0,97398649;e;75842;e;1973;e;74855;e;1022623;e;13,48;e;0,01426390;e;0,98573610;e;86312;e;1231;e;85696;e;1385464;e;16,05;e
72 Jahre;0,02774052;e;0,97225948;e;73869;e;2049;e;72844;e;947767;e;12,83;e;0,01566548;e;0,98433452;e;85081;e;1333;e;84414;e;1299768;e;15,28;e
73 Jahre;0,03062776;e;0,96937224;e;71820;e;2200;e;70720;e;874923;e;12,18;e;0,01736568;e;0,98263432;e;83748;e;1454;e;83021;e;1215354;e;14,51;e
74 Jahre;0,03263171;e;0,96736829;e;69620;e;2272;e;68484;e;804203;e;11,55;e;0,01881626;e;0,98118374;e;82293;e;1548;e;81519;e;1132333;e;13,76;e
75 Jahre;0,03621112;e;0,96378888;e;67348;e;2439;e;66129;e;735719;e;10,92;e;0,02117195;e;0,97882805;e;80745;e;1710;e;79890;e;1050814;e;13,01;e
76 Jahre;0,03854289;e;0,96145711;e;64909;e;2502;e;63658;e;669591;e;10,32;e;0,02312367;e;0,97687633;e;79035;e;1828;e;78122;e;970924;e;12,28;e
77 Jahre;0,04272360;e;0,95727640;e;62408;e;2666;e;61074;e;605932;e;9,71;e;0,02603233;e;0,97396767;e;77208;e;2010;e;76203;e;892802;e;11,56;e
78 Jahre;0,04671341;e;0,95328659;e;59741;e;2791;e;58346;e;544858;e;9,12;e;0,02894780;e;0,97105220;e;75198;e;2177;e;74110;e;816599;e;10,86;e
79 Jahre;0,05058769;e;0,94941231;e;56951;e;2881;e;55510;e;486512;e;8,54;e;0,03202169;e;0,96797831;e;73021;e;2338;e;71852;e;742490;e;10,17;e
80 Jahre;0,05742838;e;0,94257162;e;54070;e;3105;e;52517;e;431002;e;7,97;e;0,03671192;e;0,96328808;e;70683;e;2595;e;69385;e;670638;e;9,49;e
81 Jahre;0,06364272;e;0,93635728;e;50964;e;3244;e;49343;e;378485;e;7,43;e;0,04139273;e;0,95860727;e;68088;e;2818;e;66679;e;601252;e;8,83;e
82 Jahre;0,07117296;e;0,92882704;e;47721;e;3396;e;46023;e;329142;e;6,90;e;0,04769522;e;0,95230478;e;65270;e;3113;e;63713;e;534573;e;8,19;e
83 Jahre;0,07988296;e;0,92011704;e;44325;e;3541;e;42554;e;283119;e;6,39;e;0,05492796;e;0,94507204;e;62157;e;3414;e;60450;e;470860;e;7,58;e
84 Jahre;0,09006952;e;0,90993048;e;40784;e;3673;e;38947;e;240565;e;5,90;e;0,06345531;e;0,93654469;e;58742;e;3728;e;56879;e;410411;e;6,99;e
85 Jahre;0,10299344;e;0,89700656;e;37110;e;3822;e;35199;e;201618;e;5,43;e;0,07465020;e;0,92534980;e;55015;e;4107;e;52962;e;353532;e;6,43;e
86 Jahre;0,11663819;e;0,88336181;e;33288;e;3883;e;31347;e;166419;e;5,00;e;0,08651822;e;0,91348178;e;50908;e;4404;e;48706;e;300570;e;5,90;e
87 Jahre;0,13348160;e;0,86651840;e;29406;e;3925;e;27443;e;135072;e;4,59;e;0,10097498;e;0,89902502;e;46504;e;4696;e;44156;e;251865;e;5,42;e
